MapFind Routine Version: 0.35 by tap 
Run From Version: 508, On Version: 112 Run from File: 52_508fix.bin, On File: A7842980_112.BIN

Found 0 new maps with 2271/2385 found in HW# 112 
10563 skipped, 44 conflicts, and 15086 agreed 
0 AxisCheckErrors and 14 AxisCheckTargErrors. Conflict at 2344 
0 Duplicate Matches Found 
sVar  Map Name                      befo:S:after  A2Lof    del  Newof Delta   Col Row Err Posib var# MatR Blk D O:N A2lDa:NewDa DUPLICATE 
 145                    K_FGR_I_ANF    2: :2        296      2   15F2    4956   0   0   0     1 1876  100   0 0 O:N    A0:A0    
 146                  K_FGR_ABR_TAU    2: :2        298      2   15F4    4956   0   0   0     1 1866  100   0 0 O:N     9:9     
 147                   K_FGR_A_KOEF    1:1:2        29A      2   15F6    4956   0   0   0     2 1806  100   0 0 O:N    00:00    
 148                   K_FGR_NV_CFG    2: :2        29C      2   15F8    4956   0   0   0     1 1795  100   0 0 O:N     1:1     
 149               K_FGR_VERZ_KOEFF    1:1:2        29E      2   15FA    4956   0   0   0     1 1797  100   0 0 O:N    40:40    
 150                K_FGR_P_FIL_TAU    2: :2        2A0      2   15FC    4956   0   0   0     1 1796  100   0 0 O:N     A:A     
 151              K_FGR_DELTA_V_SBN    1:1:2        2A2      2   15FE    4956   0   0   0     8 1792  100   0 0 O:N    00:00    
 152               K_FGR_DELTA_V_SV    2: :2        2A4      2   1600    4956   0   0   0     1 1793  100   0 0 O:N    03:03    
 153              K_FGR_NMAX_OFFSET    2: :2        2A6      2   1602    4956   0   0   0     1 1794  100   0 0 O:N  021C:021C  
 154                K_FGR_SB_FEST_S    2: :2        2A8      2   1604    4956   0   0   0     1 1802  100   0 0 O:N    50:50    
 155                    K_FGR_P_MAX    2: :2        2AA      2   1606    4956   0   0   0     1 1803  100   0 0 O:N  70D0:70D0  
 156                    K_FGR_P_MIN    2: :2        2AC      2   1608    4956   0   0   0     1 1805  100   0 0 O:N  8030:8030  
 157                  K_FGR_SB_FEST    2: :2        2AE      2   160A    4956   0   0   0     1 1804  100   0 0 O:N  0820:0820  
